Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
18:19:48:12	47.03817	-121.6157	1243.379	0	0	25.14	0	23	0	0	0	0	0	
18:19:48:91	47.03817	-121.6157	1243.379	0	0	25.14	0	24	0	0	0.005158481	-0.002473964	-0.02185369	
18:19:48:292	47.03817	-121.6157	1243.379	0	0	25.14	0	25	0	0	0.005158481	-0.002473964	-0.02185369	
18:19:48:492	47.03817	-121.6157	1243.379	0	0	25.14	0	27	0	0	0.005158481	-0.002473964	-0.02185369	
18:19:48:693	47.03817	-121.6157	1243.379	1242.453	0.347852	25.14	22.46454	28	0	50	0.005158481	-0.002473964	-0.02185369	
18:19:48:894	47.03817	-121.6157	1243.379	1242.453	0.347852	25.14	22.46454	29	0	50	0.005158481	-0.002473964	-0.02185369	
18:19:49:95	47.03817	-121.6157	1243.379	1242.453	0.347852	25.14	22.46454	30	0	50	0.005158481	-0.002473964	-0.02185369	
18:19:49:290	47.03817	-121.6157	1243.379	1242.453	0.347852	25.14	22.46454	31	0	50	0.005158481	-0.002473964	-0.02185369	
18:19:49:496	47.03817	-121.6157	1243.379	1242.453	0.347852	25.14	22.46454	32	0	50	0.005158481	-0.002473964	-0.02185369	
18:19:49:696	47.03817	-121.6157	1243.379	1242.453	0.4605574	25.14	22.46454	33	0	50	0.005158481	-0.002473964	-0.02185369	
18:19:49:901	47.03817	-121.6157	1243.379	1242.453	0.4605574	25.14	22.46454	34	0	50	0.005158481	-0.002473964	-0.02185369	
18:19:50:97	47.03817	-121.6157	1243.379	1242.453	0.4605574	25.14	22.46454	35	0	50	0.005158481	-0.002473964	-0.02185369	
18:19:50:294	47.03817	-121.6157	1243.379	1242.453	0.4605574	25.14	22.46454	36	0	50	0.005158481	-0.002473964	-0.02185369	
18:19:50:499	47.03817	-121.6157	1243.379	1242.453	0.4605574	25.14	22.46454	37	0	50	0.005158481	-0.002473964	-0.02185369	
18:19:50:700	47.03817	-121.6157	1243.379	1242.453	0.5416583	25.14	22.46454	37	0	50	0.005158481	-0.002473964	-0.02185369	
18:19:50:901	47.03817	-121.6157	1243.379	1242.453	0.5416583	25.14	22.46454	38	0	50	0.005158481	-0.002473964	-0.02185369	
18:19:51:101	47.03817	-121.6157	1243.379	1242.453	0.5416583	25.14	22.46454	39	0	50	0.005158481	-0.002473964	-0.02185369	
18:19:51:302	47.03817	-121.6157	1243.379	1242.453	0.5416583	25.14	22.46454	40	0	50	0.005158481	-0.002473964	-0.02185369	
