Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
17:51:37:602	0	0	0	0	0	0	0	100	0	0	0	0	0	
17:51:37:791	0	0	0	0	0	0	0	100	0	0	0.09076816	0.2432555	54.30001	
17:51:37:992	0	0	0	0	0	0	0	100	0	0	0.07936881	0.2365154	54.29975	
17:51:38:193	0	0	0	0	0	0	0	100	0	0	0.07577076	0.2325211	54.2948	
17:51:38:392	0	0	0	0.3693946	-35.58065	0	3	100	0	6453	0.06536781	0.2239592	54.28007	
17:51:38:594	0	0	0	0.3693946	-35.58065	0	3	100	0	6453	0.06444687	0.214959	54.28252	
17:51:38:795	0	0	0	0.3693946	-35.58065	0	3	100	0	6453	0.05419706	0.2013007	54.2816	
17:51:38:994	0	0	0	0.3693946	-35.58065	0	3	100	0	6453	0.05681993	0.1935861	54.27461	
17:51:39:195	0	0	0	0.3693946	-35.58065	0	3	100	0	6453	0.051482	0.1815816	54.27203	
17:51:39:434	0	0	0	1.556704	47.24434	0	3	100	0	6453	0.05696955	0.1644951	54.27548	
17:51:39:597	0	0	0	1.556704	47.24434	0	3	100	0	6453	0.04919681	0.1560284	54.28173	
17:51:39:797	0	0	0	1.556704	47.24434	0	3	100	0	6453	0.04419881	0.1404462	54.28394	
17:51:39:998	0	0	0	1.556704	47.24434	0	3	100	0	6453	0.04164582	0.1236168	54.28514	
17:51:40:199	0	0	0	1.556704	47.24434	0	3	100	0	6453	0.04577731	0.09201474	54.28403	
17:51:40:398	0	0	0	1.934498	59.31419	0	3	100	0	6453	0.05131458	0.08948304	54.28946	
17:51:40:600	0	0	0	1.934498	59.31419	0	3	100	0	6453	0.05408164	0.09738653	54.30441	
17:51:40:801	0	0	0	1.934498	59.31419	0	3	100	0	6453	0.04803951	0.09901746	54.31615	
17:51:41:1	0	0	0	1.934498	59.31419	0	3	100	0	6453	0.06850951	0.1009995	54.31446	
17:51:41:204	0	0	0	1.934498	59.31419	0	3	100	0	6453	0.07069074	0.1032115	54.319	
17:51:41:399	0	0	0	1.92054	50.77103	0	3	100	0	6453	0.0672393	0.102023	54.31556	
17:51:41:600	0	0	0	1.92054	50.77103	0	3	100	0	6453	0.07439689	0.1034812	54.32186	
17:51:41:801	0	0	0	1.92054	50.77103	0	3	100	0	6453	0.07280573	0.1003007	54.3195	
17:51:42:1	0	0	0	1.92054	50.77103	0	3	100	0	6453	0.0678747	0.110633	54.32812	
17:51:42:202	0	0	0	1.92054	50.77103	0	3	100	0	6453	0.07063742	0.1225	54.32551	
17:51:42:402	0	0	0	1.854738	40.90959	0	3	100	0	6453	0.07066897	0.1094484	54.31786	
17:51:42:603	0	0	0	1.854738	40.90959	0	3	100	0	6453	0.07706007	0.1085931	54.32724	
17:51:42:803	0	0	0	1.854738	40.90959	0	3	100	0	6453	0.07820256	0.1117649	54.35065	
17:51:43:4	0	0	0	1.854738	40.90959	0	3	100	0	6453	0.08389265	0.1193923	54.35534	
17:51:43:205	0	0	0	1.854738	40.90959	0	3	100	0	6453	0.08588497	0.1062175	54.36002	
17:51:43:405	0	0	0	1.542455	23.46058	0	3	100	0	6453	0.0779363	0.1028319	54.35846	
17:51:43:606	0	0	0	1.542455	23.46058	0	3	100	0	6453	0.08808175	0.1038466	54.34287	
17:51:43:807	0	0	0	1.542455	23.46058	0	3	100	0	6453	0.08927357	0.09269756	54.34818	
17:51:44:7	0	0	0	1.542455	23.46058	0	3	100	0	6453	0.08978891	0.08029395	54.34989	
17:51:44:208	0	0	0	1.542455	23.46058	0	3	100	0	6453	0.07999786	0.07411526	54.34057	
17:51:44:409	0	0	0	1.496696	24.70942	0	3	100	0	6453	0.07307953	0.05556529	54.34055	
17:51:44:628	0	0	0	1.496696	24.70942	0	3	100	0	6453	0.06582429	0.03274775	54.33051	
17:51:44:810	0	0	0	1.496696	24.70942	0	3	100	0	6453	0.06286823	0.01772147	54.3218	
17:51:45:12	0	0	0	1.496696	24.70942	0	3	100	0	6453	0.06299772	0.02030046	54.32486	
17:51:45:213	0	0	0	1.496696	24.70942	0	3	100	0	6453	0.05725144	0.007942469	54.33673	
17:51:45:413	0	0	0	1.543225	26.64225	0	3	100	0	6453	0.04637872	0.02495027	54.32735	
17:51:45:613	0	0	0	1.543225	26.64225	0	3	100	0	6453	0.0458784	0.01112464	54.34614	
17:51:45:814	0	0	0	1.543225	26.64225	0	3	100	0	6453	0.04254777	0.01193179	54.3458	
17:51:46:14	0	0	0	1.543225	26.64225	0	3	100	0	6453	0.04864914	0.02163021	54.33981	
17:51:46:216	0	0	0	1.543225	26.64225	0	3	100	0	6453	0.04981495	0.02168969	54.35084	
17:51:46:416	0	0	0	1.304997	16.38601	0	3	100	0	6453	0.04905478	0.04565543	54.36403	
17:51:46:616	0	0	0	1.304997	16.38601	0	3	100	0	6453	0.05130061	0.04492416	54.36706	
17:51:46:817	0	0	0	1.304997	16.38601	0	3	100	0	6453	0.04899313	0.02996456	54.38227	
17:51:47:18	0	0	0	1.304997	16.38601	0	3	100	0	6453	0.04756106	0.03940021	54.39764	
17:51:47:218	0	0	0	1.304997	16.38601	0	3	100	0	6453	0.03746594	0.0379327	54.40522	
17:51:47:425	0	0	0	1.37059	23.67036	0	3	100	0	6453	0.04155418	0.03463612	54.39776	
17:51:47:620	0	0	0	1.37059	23.67036	0	3	100	0	6453	0.05294384	0.03046235	54.39449	
17:51:47:820	0	0	0	1.37059	23.67036	0	3	100	0	6453	0.0491812	0.01954342	54.40078	
17:51:48:22	0	0	0	1.37059	23.67036	0	3	100	0	6453	0.05081723	0.025331	54.39989	
17:51:48:223	0	0	0	1.37059	23.67036	0	3	100	0	6453	0.045064	0.03355781	54.40227	
17:51:48:424	0	0	0	1.483235	28.14467	0	3	100	0	6453	0.03588749	0.03171486	54.40331	
17:51:48:656	0	0	0	1.483235	28.14467	0	3	100	0	6453	0.03370095	0.008936105	54.40922	
17:51:48:824	0	0	0	1.483235	28.14467	0	3	100	0	6453	0.03146641	-0.005664609	54.40979	
17:51:49:25	0	0	0	1.483235	28.14467	0	3	100	0	6453	0.0316339	-0.004072692	54.40738	
17:51:49:225	0	0	0	1.483235	28.14467	0	3	100	0	6453	0.03670095	0.004054474	54.40597	
17:51:49:427	0	0	0	1.617401	31.70236	0	3	100	0	6453	0.03448495	0.00870926	54.4014	
17:51:49:627	0	0	0	1.617401	31.70236	0	3	100	0	6453	0.04290902	0.02861152	54.4003	
17:51:49:827	0	0	0	1.617401	31.70236	0	3	100	0	6453	0.05078459	0.0288274	54.40842	
17:51:50:29	0	0	0	1.617401	31.70236	0	3	100	0	6453	0.04529566	0.01133099	54.41868	
17:51:50:228	0	0	0	1.617401	31.70236	0	3	100	0	6453	0.05258395	0.002906968	54.41768	
17:51:50:430	0	0	0	1.513425	22.90669	0	3	100	0	6453	0.04876878	0.006024516	54.42665	
17:51:50:631	0	0	0	1.513425	22.90669	0	3	100	0	6453	0.04610828	0.007101967	54.43413	
17:51:50:831	0	0	0	1.513425	22.90669	0	3	100	0	6453	0.05148083	0.03433828	54.44204	
17:51:51:33	0	0	0	1.513425	22.90669	0	3	100	0	6453	0.04868798	0.03903986	54.45295	
17:51:51:232	0	0	0	1.513425	22.90669	0	3	100	0	6453	0.04838515	0.01512217	54.45079	
17:51:51:434	0	0	0	1.782914	33.55603	0	3	100	0	6453	0.05450519	0.0230479	54.47486	
17:51:51:634	0	0	0	1.782914	33.55603	0	3	100	0	6453	0.0518061	0.03714098	54.48658	
17:51:51:835	0	0	0	1.782914	33.55603	0	3	100	0	6453	0.05276328	0.05044508	54.48565	
17:51:52:36	0	0	0	1.782914	33.55603	0	3	100	0	6453	0.05118456	0.04957525	54.48577	
17:51:52:236	0	0	0	1.782914	33.55603	0	3	100	0	6453	0.05407989	0.05513872	54.4964	
17:51:52:437	0	0	0	1.711274	22.16382	0	3	100	0	6453	0.05521049	0.06099259	54.49593	
17:51:52:637	0	0	0	1.711274	22.16382	0	3	100	0	6453	0.06166662	0.07793719	54.49079	
17:51:52:842	0	0	0	1.711274	22.16382	0	3	100	0	6453	0.0548075	0.06340905	54.49599	
17:51:53:38	0	0	0	1.711274	22.16382	0	3	100	0	6453	0.0485561	0.0578803	54.49773	
17:51:53:239	0	0	0	1.711274	22.16382	0	3	100	0	6453	0.04593514	0.08029309	54.49207	
17:51:53:440	0	0	0	1.606951	15.45942	0	3	100	0	6453	0.0405449	0.06467402	54.50123	
17:51:53:641	0	0	0	1.606951	15.45942	0	3	100	0	6453	0.03659669	0.04780626	54.48864	
17:51:53:843	0	0	0	1.606951	15.45942	0	3	100	0	6453	0.03248626	0.06730522	54.47781	
17:51:54:43	0	0	0	1.606951	15.45942	0	3	100	0	6453	0.03851837	0.07262309	54.48323	
17:51:54:242	0	0	0	1.606951	15.45942	0	3	100	0	6453	0.03489315	0.07634058	54.48709	
17:51:54:444	0	0	0	1.633276	17.19764	0	3	100	0	6453	0.04179872	0.07501036	54.49387	
17:51:54:646	0	0	0	1.633276	17.19764	0	3	100	0	6453	0.04646183	0.08463509	54.49389	
17:51:54:845	0	0	0	1.633276	17.19764	0	3	100	0	6453	0.05082747	0.1143605	54.50271	
17:51:55:50	0	0	0	1.633276	17.19764	0	3	100	0	6453	0.06087447	0.1347514	54.49869	
17:51:55:246	0	0	0	1.633276	17.19764	0	3	100	0	6453	0.05816932	0.1204492	54.49971	
17:51:55:450	0	0	0	1.659138	17.0148	0	3	100	0	6453	0.05483416	0.1183081	54.50917	
17:51:55:651	0	0	0	1.659138	17.0148	0	3	100	0	6453	0.05432383	0.1192792	54.5089	
17:51:55:849	0	0	0	1.659138	17.0148	0	3	100	0	6453	0.05452954	0.1260709	54.49796	
17:51:56:53	0	0	0	1.659138	17.0148	0	3	100	0	6453	0.046985	0.1282976	54.49624	
17:51:56:250	0	0	0	1.659138	17.0148	0	3	100	0	6453	0.04555696	0.1133056	54.50079	
17:51:56:454	0	0	0	1.689716	15.51066	0	3	100	0	6453	0.04336072	0.1013331	54.499	
17:51:56:655	0	0	0	1.689716	15.51066	0	3	100	0	6453	0.04266211	0.106804	54.4962	
17:51:56:857	0	0	0	1.689716	15.51066	0	3	100	0	6453	0.03768902	0.09366117	54.49131	
17:51:57:58	0	0	0	1.689716	15.51066	0	3	100	0	6453	0.03649654	0.09331644	54.48685	
17:51:57:257	0	0	0	1.689716	15.51066	0	3	100	0	6453	0.03477911	0.09948375	54.489	
17:51:57:458	0	0	0	1.613539	12.82158	0	3	100	0	6453	0.02781451	0.09884934	54.49606	
17:51:57:659	0	0	0	1.613539	12.82158	0	3	100	0	6453	0.03102239	0.1054836	54.50834	
17:51:57:855	0	0	0	1.613539	12.82158	0	3	100	0	6453	0.02750914	0.1155626	54.5094	
17:51:58:56	0	0	0	1.613539	12.82158	0	3	100	0	6453	0.03076604	0.1207973	54.50964	
17:51:58:257	0	0	0	1.613539	12.82158	0	3	100	0	6453	0.04219688	0.1409608	54.51077	
17:51:58:458	0	0	0	1.485267	5.696309	0	3	100	0	6453	0.04346014	0.1482334	54.50879	
17:51:58:658	0	0	0	1.485267	5.696309	0	3	100	0	6453	0.04272565	0.1693095	54.49874	
17:51:58:858	0	0	0	1.485267	5.696309	0	3	100	0	6453	0.04345198	0.1709765	54.50159	
17:51:59:60	0	0	0	1.485267	5.696309	0	3	100	0	6453	0.05769703	0.1636411	54.50336	
17:51:59:260	0	0	0	1.485267	5.696309	0	3	100	0	6453	0.0593031	0.1791835	54.51259	
17:51:59:461	0	0	0	1.242179	-3.880457	0	3	100	0	6453	0.05767292	0.1773378	54.50862	
17:51:59:661	0	0	0	1.242179	-3.880457	0	3	100	0	6453	0.05743591	0.1799084	54.5075	
17:51:59:858	0	0	0	1.242179	-3.880457	0	3	100	0	6453	0.05755676	0.2079503	54.5039	
17:52:00:58	0	0	0	1.242179	-3.880457	0	3	100	0	6453	0.05994017	0.2056933	54.48697	
17:52:00:260	0	0	0	1.242179	-3.880457	0	3	100	0	6453	0.07261626	0.2166936	54.47874	
17:52:00:461	0	0	0	1.490815	12.31292	0	3	100	0	6453	0.07438362	0.2104168	54.48208	
17:52:00:661	0	0	0	1.490815	12.31292	0	3	100	0	6453	0.07857592	0.2254948	54.48096	
17:52:00:861	0	0	0	1.490815	12.31292	0	3	100	0	6453	0.08537766	0.2237542	54.47737	
17:52:01:62	0	0	0	1.490815	12.31292	0	3	100	0	6453	0.09491084	0.24277	54.47879	
17:52:01:266	0	0	0	1.490815	12.31292	0	3	100	0	6453	0.08618641	0.2352715	54.47906	
17:52:01:465	0	0	0	1.444843	8.739463	0	3	100	0	6453	0.08381481	0.2378414	54.46909	
17:52:01:666	0	0	0	1.444843	8.739463	0	3	100	0	6453	0.08581965	0.2386766	54.45989	
17:52:01:864	0	0	0	1.444843	8.739463	0	3	100	0	6453	0.08677093	0.2474766	54.46729	
17:52:02:66	0	0	0	1.444843	8.739463	0	3	100	0	6453	0.09169476	0.2484578	54.45427	
17:52:02:266	0	0	0	1.444843	8.739463	0	3	100	0	6453	0.09197924	0.2438077	54.45118	
