Date	Latitude(deg)	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)	Rollrate(dps)	Pitchrate(dps)	Yawrate(dps)	accelX(m/s/s)	accelY(m/s/s)	accelZ(m/s/s)	vgN(mps)	vgE(mps)	vgD(mps)	Aileron(unit)	Elevator(unit)	Rudder(unit)	Throttle(unit)
17:55:59:475	0	0	0	0	0	0	0	0	0	0	1.380538	2.584929	161.4996	0.001927564	0.01963756	0	0	0	-1000.103	0	0	0	1.71206E-07	-0.0001335089	0	0	
17:55:59:486	0	0	0	0	0	0	0	0	0	0	1.380538	2.584929	161.4996	0.001927564	0.01963756	0	0	0	-1000.103	0	0	0	1.71206E-07	-0.0001335089	0	0	
17:55:59:502	0	0	0	0	0	0	0	0	0	0	1.380538	2.584929	161.4996	0.001927564	0.01963756	0	0	0	-1000.103	0	0	0	1.71206E-07	-0.0001335089	0	0	
17:55:59:544	0	0	0	0	0	0	0	0	0	0	1.380538	2.584929	161.4996	0.001927564	0.01963756	0	0	0	-1000.103	0	0	0	1.71206E-07	-0.0001335089	0	0	
17:55:59:568	0	0	0	0	0	0	0	0	0	0	1.380538	2.584929	161.4996	0.001927564	0.01963756	0	0	0	-1000.103	0	0	0	1.71206E-07	-0.0001335089	0	0	
17:55:59:584	0	0	0	0	0	0	0	0	0	0	1.380538	2.584929	161.4996	0.001927564	0.01963756	0	0	0	-1000.103	0	0	0	1.71206E-07	-0.0001335089	0	0	
17:55:59:605	0	0	0	0	0	0	0	0	0	0	1.380538	2.584929	161.4996	0.001927564	0.01963756	0	0	0	-1000.103	0	0	0	1.71206E-07	-0.0001335089	0	0	
17:55:59:641	0	0	0	0	0	0	0	0	0	0	1.380538	2.584929	161.4996	0.001927564	0.01963756	0	0	0	-1000.103	0	0	0	1.71206E-07	-0.0001335089	0	0	
17:55:59:662	0	0	0	0	0	0	0	0	0	0	1.380538	2.584929	161.4996	0.001927564	0.01963756	0	0	0	-1000.103	0	0	0	1.71206E-07	-0.0001335089	0	0	
17:55:59:682	0	0	0	0	0	0	0	0	0	0	1.380538	2.584929	161.4996	0.001927564	0.01963756	0	0	0	-1000.103	0	0	0	1.71206E-07	-0.0001335089	0	0	
17:55:59:706	0	0	0	0	0	0	0	0	0	0	1.380538	2.584929	161.4996	0.001927564	0.01963756	0	0	0	-1000.103	0	0	0	1.71206E-07	-0.0001335089	0	0	
17:55:59:749	0	0	0	0	0	0	0	0	0	0	1.380538	2.584929	161.4996	0.001927564	0.01963756	0	0	0	-1000.103	0	0	0	1.71206E-07	-0.0001335089	0	0	
17:55:59:765	0	0	0	0	0	0	0	0	0	0	1.380538	2.584929	161.4996	0.001927564	0.01963756	0	0	0	-1000.103	0	0	0	1.71206E-07	-0.0001335089	0	0	
17:55:59:784	0	0	0	0	0	0	0	0	0	0	1.380538	2.584929	161.4996	0.001927564	0.01963756	0	0	0	-1000.103	0	0	0	1.71206E-07	-0.0001335089	0	0	
17:55:59:806	0	0	0	0	0	0	0	0	0	0	1.380538	2.584929	161.4996	0.001927564	0.01963756	0	0	0	-1000.103	0	0	0	1.71206E-07	-0.0001335089	0	0	
17:55:59:846	0	0	0	0	0	0	0	0	0	0	1.380538	2.584929	161.4996	0.001927564	0.01963756	0	0	0	-1000.103	0	0	0	1.71206E-07	-0.0001335089	0	0	
17:55:59:867	47.46363	-122.3077	0.02103662	0.02103662	0	0	0	0	0	0	1.380538	2.584929	161.4996	0.001927564	0.01963756	0	0	0	-1000.103	0	0	-4.637301E-05	1.71206E-07	-0.0001335089	0	0	
17:55:59:882	47.46363	-122.3077	0.02103662	0.02103662	0	0	0	0	0	0	1.380538	2.584929	161.4996	0.001927564	0.01963756	0	0	0	-1000.103	0	0	-4.637301E-05	1.71206E-07	-0.0001335089	0	0	
17:55:59:903	47.46363	-122.3077	0.02103662	0.02103662	0	0	0	0	0	0	1.380538	2.584929	161.4996	0.001927564	0.01963756	0	0	0	-1000.103	0	0	-4.637301E-05	1.71206E-07	-0.0001335089	0	0	
17:55:59:946	47.46363	-122.3077	0.02103662	0.02103662	0	0	0	0	0	0	1.380538	2.584929	161.4996	0.001927564	0.01963756	0	0	0	-1000.103	0	0	-4.637301E-05	1.71206E-07	-0.0001335089	0	0	
17:55:59:965	47.46363	-122.3077	0.02103662	0.02103662	0	0	0	0	0	0	1.380538	2.584929	161.4996	0.001927564	0.01963756	0	0	0	-1000.103	0	0	-4.637301E-05	1.71206E-07	-0.0001335089	0	0	
17:55:59:986	47.46363	-122.3077	0.02103662	0.02103662	0	0	0	0	0	0	1.380538	2.584929	161.4996	0.001927564	0.01963756	0	0	0	-1000.103	0	0	-4.637301E-05	1.71206E-07	-0.0001335089	0	0	
17:56:00:6	47.46363	-122.3077	0.02103662	0.02103662	0	0	0	0	0	0	1.380538	2.584929	161.4996	0.001927564	0.01963756	0	0	0	-1000.103	0	0	-4.637301E-05	1.71206E-07	-0.0001335089	0	0	
17:56:00:47	47.46363	-122.3077	0.02103662	0.02103662	0	0	0	0	0	0	1.3813	2.560492	161.499	0.01466133	-0.6443262	0	0	0	-1000.21	0	0	-4.637301E-05	-3	-3	-3	0	
17:56:00:49	47.46363	-122.3077	0.02103662	0.02103662	0	0	0	0	0	0	1.3813	2.560492	161.499	0.01466133	-0.6443262	0	0	0	-1000.21	0	0	-4.637301E-05	-3	-3	-3	0	
