Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
20:29:46	-6.795901	38.98533	101.555	0	0	0.58	0	100	0	0	5.593575	-0.1488189	-53.38887	
20:29:46	-6.795901	38.98533	101.648	-1.014882	-0.4715264	0.42	3	100	0	50	5.497468	-0.342302	-53.39464	
20:29:46	-6.795904	38.98534	99.619	-1.083931	-4.198737	1.15	3	100	0	50	5.876251	-0.06903303	-53.34625	
20:29:46	-6.795903	38.98534	99.939	-1.140694	-7.606464	0.12	3	100	0	50	6.829752	0.7661762	-53.37053	
20:29:46	-6.795902	38.98534	100.024	-1.374672	-19.50937	0.79	3	100	0	50	5.987888	0.01324778	-53.42479	
20:29:47	-6.795902	38.98534	100.049	-1.586088	-29.64968	0.09	3	100	0	50	5.409016	-0.1540108	-53.40893	
20:29:47	-6.795902	38.98534	100.029	-1.289178	-11.60682	0.29	3	100	0	50	6.171481	0.08661579	-53.40765	
20:29:47	-6.795899	38.98534	100.47	-1.015619	2.709268	0.66	3	100	0	50	6.440593	0.08329906	-53.41032	
20:29:47	-6.795898	38.98534	100.717	-0.624467	22.04342	0.64	3	100	0	50	6.67897	0.2733522	-53.43195	
20:29:47	-6.795897	38.98534	100.956	-0.3071854	36.04631	0.14	3	100	0	50	6.441946	0.394904	-53.47005	
20:29:48	-6.795897	38.98534	101.311	-0.3394809	30.36306	0.37	3	100	0	50	6.116505	0.2220329	-53.51588	
20:29:48	-6.795895	38.98534	101.613	-0.3767689	24.70187	0.42	3	100	0	50	6.195178	0.05994417	-53.52125	
20:29:48	-6.795895	38.98534	101.709	-0.3483392	22.69062	0.22	3	100	0	50	5.952356	-0.8078146	-53.47664	
