Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
09:41:53	-6.733764	38.95361	113.163	0	0	0.28	0	100	0	0	1.720973	-3.404298	49.29385	
09:41:53	-6.733764	38.95361	113.163	1.437397	0	0.28	3	100	0	5	1.557597	-4.020196	49.30054	
09:41:53	-6.733768	38.95361	116.128	1.437397	0	0.04	3	100	0	5	1.535803	-3.721093	49.29713	
09:41:53	-6.733768	38.95361	116.128	1.437397	0	0.04	3	100	0	5	1.69586	-3.67498	49.29397	
09:41:54	-6.733767	38.95361	115.981	1.437397	0	0.04	3	100	0	5	1.780498	-3.666821	49.19469	
09:41:54	-6.733767	38.95361	115.981	1.437397	0	0.04	3	100	0	4	1.744004	-3.537963	49.14323	
09:41:54	-6.733767	38.95361	115.907	1.437397	0	0.19	3	100	0	5	1.929485	-3.430416	49.13645	
09:41:54	-6.733767	38.95361	115.907	1.437397	0	0.29	3	100	0	5	1.715102	-3.456923	49.15729	
09:41:54	-6.733766	38.95361	115.787	1.437397	0	0.19	3	100	0	5	1.685484	-3.25837	49.18301	
09:41:55	-6.733766	38.95361	115.787	1.437397	0	0.19	3	100	0	5	1.720031	-3.208337	49.11036	
09:41:55	-6.733765	38.95361	115.721	1.437397	0	0.36	3	100	0	4	2.065123	-3.297689	49.09476	
09:41:55	-6.733765	38.95361	115.721	1.437397	0	0.36	3	100	0	4	2.009319	-3.481643	49.10399	
09:41:55	-6.733765	38.95361	115.773	1.437397	0	0.17	3	100	0	5	1.829874	-3.364745	49.11979	
09:41:55	-6.733765	38.95361	115.937	1.437397	0	0.11	3	100	0	4	2.096935	-3.123949	49.06038	
09:41:56	-6.733764	38.95361	115.944	1.437397	0	0.19	3	100	0	4	2.007272	-3.089209	49.07209	
09:41:56	-6.733764	38.95361	115.843	1.437397	0	0.11	3	100	0	5	2.276923	-3.052309	49.08546	
09:41:56	-6.733764	38.95361	115.843	1.437397	0	0.11	3	100	0	4	2.26686	-2.887172	49.10736	
09:41:56	-6.733764	38.95361	115.932	1.437397	0	0.31	3	100	0	4	2.183569	-2.954364	49.13276	
09:41:56	-6.733764	38.95361	115.932	1.437397	0	0.31	3	100	0	5	2.363389	-2.996891	49.11124	
09:41:57	-6.733764	38.95361	116.001	1.437397	0	0.17	3	100	0	4	2.194774	-2.715222	49.13037	
09:41:57	-6.733764	38.95361	116.382	1.437397	0	0.09	3	100	0	5	2.175204	-2.767425	49.18259	
09:41:57	-6.733764	38.95361	116.382	1.437397	0	0.09	3	100	0	5	2.146661	-2.626854	49.22712	
09:41:57	-6.733763	38.95361	116.25	1.437397	0	0.02	3	100	0	4	2.332751	-2.651597	49.16434	
09:41:57	-6.733763	38.95361	116.32	1.437397	0	0.33	3	100	0	5	2.238676	-2.53941	49.18395	
09:41:58	-6.733763	38.95361	116.239	1.437397	0	0.13	3	100	0	4	1.880259	-2.5192	49.26733	
09:41:58	-6.733763	38.95361	116.243	1.437397	0	0.19	3	100	0	5	2.146695	-2.394156	49.33001	
09:41:58	-6.733762	38.95361	116.237	1.437397	0	0.29	3	100	0	4	2.131654	-2.25549	49.3812	
09:41:58	-6.733762	38.95361	116.125	1.437397	0	0.57	3	100	0	5	1.921131	-2.530645	49.39597	
09:41:58	-6.733762	38.95361	116.03	1.437397	0	0.22	3	100	0	4	1.685609	-2.092445	49.48199	
09:41:59	-6.733762	38.95361	115.913	1.437397	0	0.08	3	100	0	5	1.995551	-2.04954	49.57756	
09:41:59	-6.733762	38.95361	115.889	1.437397	0	0.26	3	100	0	5	2.243633	-2.227042	49.63786	
09:41:59	-6.733762	38.95361	115.779	1.437397	0	0.33	3	100	0	5	2.479856	-2.2883	49.56552	
09:41:59	-6.733762	38.95361	115.621	1.437397	0	0.19	3	100	0	5	2.334392	-1.951877	49.6011	
09:41:59	-6.733762	38.95361	115.633	1.437397	0	0.22	3	100	0	5	2.29391	-1.968404	49.68291	
09:42:00	-6.733762	38.95361	115.614	1.437397	0	0.04	3	100	0	4	2.031202	-2.196687	49.76167	
09:42:00	-6.733762	38.95361	115.564	1.437397	0	0.29	3	100	0	4	2.152087	-2.172659	49.8203	
09:42:00	-6.733762	38.95361	115.377	1.437397	0	0.14	3	100	0	5	2.444338	-2.008517	49.65513	
09:42:00	-6.733762	38.95361	115.213	1.437397	0	0.18	3	100	0	5	2.218688	-1.990536	49.69682	
09:42:00	-6.733762	38.95361	114.997	1.437397	0	0.28	3	100	0	5	2.253025	-2.227047	49.76845	
09:42:01	-6.733763	38.95361	114.86	1.437397	0	0.19	3	100	0	4	2.274578	-1.914954	49.82467	
09:42:01	-6.733763	38.95361	114.768	1.437397	0	0.26	3	100	0	5	2.217864	-1.885257	49.80576	
