Date	Latitude(deg) 	Longitude(deg)	hamsl(m)	hafl(m)	climbrate(cm/s)	GroundSpeed(m/s)	Airspeed(m/s)	Mav_Link(%)	Rssi_Link(%)	Throttle	Roll(deg)	Pitch(deg)	Yaw(deg)
22:44:45	0	0	0	0.002551579	-0.3218378	0	3	40	0	50	-1.669951	0.8498428	90.43195	
22:44:45	0	0	0	0.002551579	-0.3218378	0	3	43	0	50	-1.675027	0.8406432	90.43895	
22:44:45	0	0	0	0.002551579	-0.3218378	0	3	46	0	50	-1.665426	0.8455068	90.44228	
22:44:45	0	0	0	0.002551579	-0.3218378	0	3	48	0	50	-1.668975	0.8480689	90.45861	
22:44:46	0	0	0	0.002551579	-0.3218378	0	3	50	0	50	-1.670694	0.8633197	90.45703	
22:44:46	0	0	0	0.09890386	6.682584	0	3	52	0	50	-1.654511	0.8696828	90.4753	
22:44:46	0	0	0	0.09890386	6.682584	0	3	54	0	50	-1.648129	0.8935764	90.46344	
22:44:46	0	0	0	0.09890386	6.682584	0	3	56	0	50	-1.632885	0.9173155	90.46187	
22:44:46	0	0	0	0.09890386	6.682584	0	3	57	0	50	-1.626005	0.9198295	90.46445	
22:44:47	0	0	0	0.09890386	6.682584	0	3	58	0	50	-1.628185	0.9100182	90.46252	
22:44:47	0	0	0	0.8643373	31.97822	0	3	60	0	50	-1.626525	0.8997095	90.45573	
22:44:47	0	0	0	0.8643373	31.97822	0	3	61	0	50	-1.627133	0.8928759	90.46234	
22:44:47	0	0	0	0.8643373	31.97822	0	3	63	0	50	-1.629454	0.8880923	90.44975	
22:44:47	0	0	0	0.8643373	31.97822	0	3	64	0	50	-1.63616	0.8926954	90.47012	
22:44:48	0	0	0	0.8643373	31.97822	0	3	65	0	50	-1.631775	0.9077321	90.48419	
22:44:48	0	0	0	0.8216962	16.1096	0	3	66	0	50	-1.634329	0.9363556	90.48965	
22:44:48	0	0	0	0.8216962	16.1096	0	3	67	0	50	-1.635916	0.9341854	90.48218	
22:44:48	0	0	0	0.8216962	16.1096	0	3	68	0	50	-1.630337	0.9447796	90.4824	
22:44:48	0	0	0	0.8216962	16.1096	0	3	69	0	50	-1.627173	0.9448578	90.48103	
22:44:49	0	0	0	0.8216962	16.1096	0	3	70	0	50	-1.62344	0.9376123	90.47581	
22:44:49	0	0	0	0.5475651	-3.691415	0	3	71	0	50	-1.625425	0.9330824	90.47216	
22:44:49	0	0	0	0.5475651	-3.691415	0	3	71	0	50	-1.621569	0.9539685	90.47708	
22:44:49	0	0	0	0.5475651	-3.691415	0	3	72	0	50	-1.607235	0.9445211	90.48756	
22:44:49	0	0	0	0.5475651	-3.691415	0	3	73	0	50	-1.598567	0.9641258	90.48325	
